position_id,risk_level,variant,repetition,selected_edge,score,elapsed_time_sec,nodes_searched,timed_out,root_alpha_updates,null_window_searches,research_count
seed0_early_t0,normal,alpha_beta_full_root_window,0,0→35,-906.5,0.5582750830799341,4059,False,0,0,0
seed0_early_t0,normal,alpha_beta_full_root_window,1,0→35,-906.5,0.5130380830960348,4059,False,0,0,0
seed0_early_t0,normal,alpha_beta_full_root_window,2,0→35,-906.5,0.5483601250452921,4059,False,0,0,0
seed0_early_t0,normal,alpha_beta_full_root_window,3,0→35,-906.5,0.5375803749775514,4059,False,0,0,0
seed0_early_t0,normal,alpha_beta_full_root_window,4,0→35,-906.5,0.5232999579748139,4059,False,0,0,0
seed0_early_t0,normal,alpha_beta_shared_root_alpha,0,0→35,-906.5,0.1293119170004502,1198,False,1,0,0
seed0_early_t0,normal,alpha_beta_shared_root_alpha,1,0→35,-906.5,0.13615612499415874,1198,False,1,0,0
seed0_early_t0,normal,alpha_beta_shared_root_alpha,2,0→35,-906.5,0.1373452499974519,1198,False,1,0,0
seed0_early_t0,normal,alpha_beta_shared_root_alpha,3,0→35,-906.5,0.1388751670019701,1198,False,1,0,0
seed0_early_t0,normal,alpha_beta_shared_root_alpha,4,0→35,-906.5,0.14556916698347777,1198,False,1,0,0
seed0_early_t0,normal,pvs_unit_window,0,0→35,-906.5,0.10433662496507168,852,False,0,599,4
seed0_early_t0,normal,pvs_unit_window,1,0→35,-906.5,0.09621495800092816,852,False,0,599,4
seed0_early_t0,normal,pvs_unit_window,2,0→35,-906.5,0.09584020893089473,852,False,0,599,4
seed0_early_t0,normal,pvs_unit_window,3,0→35,-906.5,0.09903870802372694,852,False,0,599,4
seed0_early_t0,normal,pvs_unit_window,4,0→35,-906.5,0.10255825007334352,852,False,0,599,4
seed0_early_t0,normal,pvs_nextafter_window,0,0→35,-906.5,0.09740862506441772,852,False,0,599,4
seed0_early_t0,normal,pvs_nextafter_window,1,0→35,-906.5,0.09624708397313952,852,False,0,599,4
seed0_early_t0,normal,pvs_nextafter_window,2,0→35,-906.5,0.09388754097744823,852,False,0,599,4
