reading,start_char,end_char,priority_rank,priority_label,priority_tags
がくれき,が,き,0,high,ichi1|news1|nf09
こんてすと,こ,と,0,high,gai1|ichi1
かつすい,か,い,0,high,news1|nf15
おなかのこ,お,こ,0,high,spec1
とれえす,と,す,0,high,gai1
じゆんさ,じ,さ,0,high,ichi1|news1|nf09
だく,だ,く,0,high,ichi1
ほつぷ,ほ,ぷ,0,high,gai1
たいおう,た,う,0,high,ichi1|news1|nf01
たんけん,た,ん,0,high,ichi1|news1|nf12
たんかあ,た,あ,0,high,gai1|ichi1
はんていんぐ,は,ぐ,0,high,gai1
そうだい,そ,い,0,high,news1|nf12
りそく,り,く,0,high,ichi1|news1|nf10
じしや,じ,や,0,high,news1|nf03
てんかん,て,ん,0,high,news1|nf02
かいてい,か,い,0,high,ichi1|news1|nf06|nf09|nf18
ぱある,ぱ,る,0,high,gai1
かがやき,か,き,0,high,news1|nf14
やすうり,や,り,0,high,ichi1|news1|nf11
たんねん,た,ん,0,high,news1|nf14
せめ,せ,め,0,high,news1|nf05
かんせつ,か,つ,0,high,ichi1|news1|nf12|nf13
みがら,み,ら,0,high,ichi1|news1|nf10
ぷろだくと,ぷ,と,0,high,gai1
ふりい,ふ,い,0,high,gai1
よしゆう,よ,う,0,high,ichi1|news2|nf36
さいごのぶたい,さ,い,0,high,spec1
きようしよくいん,き,ん,0,high,news1|nf10
おこなう,お,う,0,high,ichi1|news1|nf01
ばくてりあ,ば,あ,0,high,gai1
かれえ,か,え,0,high,gai1|ichi1
かくじゆう,か,う,0,high,news1|nf08
じよい,じ,い,0,high,gai1
さいぼうない,さ,い,0,high,spec1
にんじゆ,に,ゆ,0,high,ichi1|news1|nf06
りんじようかん,り,ん,0,high,news1|nf20
こあめ,こ,め,0,high,ichi1|news1|nf19
ひとや,ひ,や,0,high,news1|nf09
によじつ,に,つ,0,high,news1|nf19
いちげつ,い,つ,0,high,spec1
せんじようざい,せ,い,0,high,spec1
こどうぐ,こ,ぐ,0,high,news1|nf20
えいかいわ,え,わ,0,high,spec1
うれゆき,う,き,0,high,news1|nf06
ばとん,ば,ん,0,high,gai1
いお,い,お,0,high,news1|nf19
もうしこみしよ,も,よ,0,high,spec1
どなる,ど,る,0,high,ichi1|news2|nf28
きちげえ,き,え,0,high,ichi1
